BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93057.0567109 cm-1
	ZPE2 - ZPE1    :     -690.9218789 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
 9.473282e-06  1.746480e-02 -1.862604e-03  4.315893e-03  4.355949e-04 -8.474851e-04  8.849385e-04  1.064831e-03 -1.153275e-03 -1.344910e-03
-1.953915e-02 -5.375517e-04  1.525689e-02 -2.613777e-03 -1.308048e-04 -9.978834e-04 -2.743963e-04 -2.345589e-04 -2.586000e-04 -9.997537e-01
 3.248749e-06 -1.533851e-04 -1.497194e-04 -1.672987e-04  7.360624e-05 -4.194100e-04 -1.364117e-04 -1.508986e-04  3.432781e-05 -2.160305e-03
 9.426377e-05  4.508793e-05  2.724385e-05  1.001707e-05  6.765022e-05 -2.167188e-02 -1.993586e-04  8.701470e-06 -7.745783e-05 -7.438319e-05
-7.216414e-03  8.440507e-05 -1.447532e-04  1.837407e-05  6.818474e-06  1.411873e-07  7.073429e-07  9.393116e-08 -3.284786e-03 -4.761778e-06
-1.913453e-05  3.449779e-05 -4.592411e-03  1.282567e-06  1.100705e-05  1.314281e-03 -2.616457e-05 -1.478049e-05 -4.148215e-04 -1.422090e-04
-9.498824e-04 -1.779080e-03 -2.051783e-05 -2.978140e-04  1.903127e-05  1.427497e-05  2.375274e-03 -4.379823e-06  7.429947e-03  3.167220e-05
-2.905739e-05  4.045471e-03 -7.516285e-04  8.604724e-04  3.473208e-04  6.731621e-04  1.077763e-04  9.370183e-03 -1.414948e-05 -8.307016e-04
 4.766482e-05  8.071352e-06  1.351860e-03 -9.003743e-06 -1.389763e-02  3.639063e-06  1.962454e-05  8.922072e-03 -2.210368e-03  1.827984e-04
-2.499363e-02 -1.486689e-05 -5.078529e-06 -4.363261e-03 -7.967115e-06 -1.156149e-05 -1.699722e-03 -2.152713e-06 -4.908447e-04 -3.396518e-04
 5.384574e-03 -5.355309e-03 -5.368407e-06  4.756695e-03 -5.198592e-04  1.290289e-05 -3.037282e-04 -2.569909e-08 -1.002025e-03 -3.632696e-04
-1.321325e-06  2.331066e-04  1.513943e-05  2.949862e-07  6.264889e-05  2.492091e-05  1.940342e-05 -8.357409e-04  4.934373e-04  8.735736e-05
-2.244026e-07 -6.733904e-07 -6.072771e-05  1.435928e-05 -6.051824e-05 -1.100925e-06 
  MODE      51
-5.068069e-05  9.151021e-05  3.712282e-05 -4.683089e-05  6.875713e-04  1.784799e-03  1.063652e-04  1.205076e-03 -2.160382e-03 -2.787208e-03
-1.465405e-03  9.549716e-04  2.800441e-03 -1.696296e-03  1.157211e-05 -1.758609e-03 -7.278466e-04  6.221066e-03 -1.293515e-03  1.657392e-03
 1.493002e-04  1.911974e-02 -5.399922e-04  1.005621e-02  4.436917e-04  1.148167e-04 -1.360776e-04  2.072515e-02 -3.571515e-04 -3.364041e-03
 9.153459e-05 -2.085104e-03 -2.945484e-02  9.582691e-03 -1.033926e-03 -1.680427e-02  2.783997e-03 -2.608148e-03 -8.573337e-03 -1.407269e-02
-3.886742e-03  1.358503e-03 -2.765587e-03 -2.316981e-02  2.844205e-04 -2.129363e-03  6.230016e-04 -7.735861e-05 -1.216268e-02 -3.351808e-03
-9.747398e-01 -2.081188e-01  4.105558e-03 -1.338990e-03  2.326393e-03 -3.334036e-03 -6.912878e-03 -1.035288e-03 -2.378274e-05 -1.043707e-03
-2.556323e-04  2.187613e-03  6.730119e-04  5.893782e-05  4.693869e-04 -8.453017e-04 -1.369304e-03  1.335628e-03 -3.370150e-03 -3.183760e-03
-6.000603e-04  5.539589e-04  4.028834e-04  1.344692e-04  4.594215e-04  2.059185e-05  1.006562e-05 -4.298281e-05 -5.367364e-05  9.034414e-06
 2.221489e-03  1.882272e-04 -2.490045e-04 -7.388539e-06 -1.708543e-05  7.975853e-05  7.547639e-05  2.090401e-05 -1.399493e-03  4.397891e-04
 2.088580e-04  3.652594e-05  5.652624e-05  1.682119e-05 -7.912691e-06 -3.804621e-05 -9.584045e-05  1.060262e-05 -1.935798e-04 -9.226967e-05
 7.699425e-05  9.520800e-05 -1.409000e-04 -1.283591e-04 -7.095988e-04  2.903404e-03 -1.732691e-04  1.467269e-04  4.025583e-05 -5.299721e-04
-1.479598e-04 -1.372977e-05  4.241070e-04  9.457376e-06 -1.842780e-04 -4.774050e-06 -8.611101e-05  3.892547e-05 -1.862588e-03 -5.223898e-04
-3.997102e-04  2.109281e-05  2.703431e-05 -9.631364e-06  3.659702e-05  3.804629e-05  8.355352e-05  4.653162e-06 -6.488785e-04 -1.704769e-03
 1.025296e-05 -1.397703e-06  2.915498e-06  5.023113e-05  1.215913e-05 -1.085714e-05  1.796833e-06  6.757705e-07  9.513207e-07 -8.887429e-08
-5.498147e-07 -2.495048e-07 -4.909023e-07 -6.792775e-07 -2.967269e-06  2.686070e-05  8.096007e-06 -1.711973e-06 -3.243069e-08 -2.261495e-07
 1.953451e-06  1.390398e-06 -4.819640e-05 -5.250567e-06 -4.917529e-07 -2.748470e-07 
  MODE      52
 7.744375e-04 -8.117924e-03 -5.942114e-05  2.365033e-03  1.110339e-02  1.498680e-02  1.617607e-02  1.335802e-02 -1.812896e-03 -4.409322e-02
-2.125785e-02 -7.563600e-02 -2.338238e-02 -2.596745e-02 -8.711285e-04  7.564767e-03 -1.063161e-02 -1.199431e-02  1.974976e-02 -1.238568e-02
-9.725208e-03 -6.529053e-03 -7.185936e-03 -9.700852e-02  4.794907e-03 -1.085154e-03  2.941897e-05 -2.094643e-01  4.179388e-02  3.482398e-02
-7.748382e-04 -3.215313e-02 -8.600998e-03  1.475611e-01  7.926384e-02  1.467066e-01  7.661934e-03  1.952219e-01 -8.343613e-03 -7.831082e-03
-5.873867e-02 -9.824967e-02 -4.107333e-02  2.344804e-01 -2.285567e-02 -3.284407e-02 -4.699991e-02  4.712055e-03 -5.708188e-04 -4.969358e-02
-2.014333e-01  9.599119e-01 -9.115631e-05  1.547387e-02  2.960022e-04  3.573033e-02  6.702796e-02 -7.564132e-03  2.586943e-03 -1.540096e-02
 1.743594e-02  1.592558e-04  4.925734e-05 -2.393591e-04  1.219508e-04 -1.231429e-02  1.557961e-02  1.260701e-05  3.461301e-02 -3.665666e-03
-8.715850e-03 -4.646381e-03 -2.687964e-02 -1.607618e-03  1.880099e-05  1.211858e-05 -7.500992e-05  4.548044e-06 -7.951102e-04 -4.781570e-04
-3.480924e-04 -2.158597e-03 -3.549922e-03  4.806234e-04  1.181116e-03  1.140071e-03 -5.097371e-03 -1.455644e-03 -2.279709e-02 -2.884213e-02
 2.902749e-03  5.721786e-04 -3.558221e-03  3.062801e-04  3.722414e-04  2.336140e-03 -1.402482e-03 -6.524606e-04 -2.776628e-03  5.825094e-03
-4.813839e-03  1.519308e-03 -1.966285e-03 -1.873176e-03  6.231470e-02  4.165871e-02  1.021662e-02  1.868312e-03 -1.978923e-03 -8.331754e-03
 1.083448e-02  3.621297e-04  5.954128e-03 -5.694738e-04 -2.564780e-03  1.261325e-04  5.733954e-03  6.247875e-04 -2.876135e-02  3.784039e-02
-5.461264e-03 -1.348839e-03 -1.527049e-03 -1.134226e-04 -2.251048e-03 -2.476756e-03  1.241061e-03 -2.785584e-04 -4.543558e-02  1.575672e-04
 1.151461e-04 -3.897799e-05 -8.672692e-06  6.809223e-04 -2.904190e-05  9.427174e-05 -6.755031e-07 -1.257159e-05  1.795070e-05  2.317457e-05
 6.527794e-05  6.756729e-07  1.009481e-08 -2.656185e-05 -2.250129e-06  3.016959e-05  6.483988e-04  1.309619e-05 -9.436767e-06 -1.772564e-05
-2.758597e-05 -2.578649e-05 -7.035088e-04  1.247915e-03 -5.515854e-06 -5.749536e-06 
  MODE      53
 2.722025e-03 -5.545955e-03  1.907466e-03  2.614526e-03 -3.382582e-02 -4.016971e-02 -3.448662e-03  1.590713e-02  1.097455e-01  1.793221e-01
-9.557661e-02 -5.655622e-02 -1.455674e-01  8.342349e-02 -8.578922e-04 -2.643562e-01  3.575457e-02  8.200213e-02  6.825568e-02 -8.558826e-02
-8.533931e-03 -6.708878e-01  2.652711e-02 -5.241524e-01 -2.183870e-02 -6.113265e-03 -4.620713e-04 -1.000000e+00  2.269284e-02  1.758883e-01
-4.732310e-03  1.024134e-01  1.000000e+00 -4.710707e-01  6.072021e-02  8.739699e-01 -9.917409e-01  1.534167e-01  1.000000e+00  1.000000e+00
 1.911811e-01 -7.917181e-02  1.359868e-01  1.000000e+00 -1.703764e-02  1.048118e-01 -3.669600e-02  3.902045e-03  1.191623e-01  1.637780e-01
-8.612103e-02 -8.827138e-02 -9.763190e-01  7.019680e-02 -9.318631e-02  1.745472e-01  3.600031e-01  4.409309e-01  2.270284e-03  5.147756e-02
 1.468810e-02 -3.370213e-02 -1.333128e-03 -3.064388e-03  7.027447e-03  4.150804e-02  7.179945e-02 -9.040489e-03  1.764367e-01  2.059262e-01
 2.944161e-02 -2.888584e-02 -2.322235e-02 -7.055023e-03 -2.195191e-02  3.213972e-05 -6.084503e-04 -3.828016e-03  2.718171e-03 -4.003092e-04
 2.757080e-02 -3.101652e-02  1.214073e-02  4.557972e-04  1.020155e-03 -3.927741e-03 -4.388948e-03 -1.235336e-03  6.880062e-02 -2.530032e-02
-1.029413e-02 -1.844725e-03 -3.182477e-03 -9.006390e-04  3.555292e-04  2.141546e-03  4.810256e-03 -5.820480e-04  9.565822e-03  5.286605e-03
-4.282950e-03 -4.695379e-03  6.875087e-03  6.322425e-03  4.233797e-02 -1.431593e-01  9.849203e-03 -7.182793e-03 -2.190684e-03  2.605557e-02
 8.665421e-03  7.644409e-04 -2.085723e-02 -5.318069e-04  9.038627e-03  2.797993e-04  4.933521e-03 -1.916929e-03  9.160912e-02  3.044391e-02
 1.960792e-02 -1.226631e-03 -1.457521e-03  4.161744e-04 -2.135104e-03 -2.175452e-03 -4.122588e-03 -2.653823e-04  2.822853e-02  8.648241e-02
-4.532362e-04  7.108741e-05 -4.105297e-05 -2.447948e-03 -4.697482e-04  5.272593e-04 -7.493706e-05 -3.721116e-05 -4.932570e-05 -2.579034e-06
 3.403221e-05  1.213286e-06 -2.207777e-07  3.900870e-05  1.282508e-04 -1.311116e-03 -3.322597e-04  7.336863e-05  2.972483e-06 -5.743284e-06
-1.068566e-04 -7.636573e-05  2.526323e-03  3.754702e-04  3.989552e-06 -3.519139e-06 
  MODE      54
-5.267794e-04  8.016788e-03  6.021281e-05 -2.184079e-03 -1.096757e-02 -1.479904e-02 -1.283309e-02 -1.319287e-02  1.097548e-04  4.355576e-02
 2.100190e-02  7.469079e-02  2.624641e-02  2.565246e-02  8.594101e-04 -7.452692e-03  1.049458e-02  1.180555e-02 -2.592202e-02 -1.199459e-02
 9.600055e-03  6.420736e-03  7.085448e-03  1.078142e-01 -4.740087e-03  1.474992e-03 -2.862888e-05  1.922462e-01 -4.133004e-02 -4.907897e-02
-7.845885e-03  3.176067e-02  8.497890e-03 -1.457804e-01 -7.826621e-02 -1.629435e-01 -7.537491e-03 -1.927770e-01  8.212494e-03  7.712305e-03
 5.803351e-02  9.701536e-02  4.055242e-02 -2.737248e-01  2.257212e-02  3.244442e-02  4.640888e-02 -4.651924e-03  5.843501e-04  4.906455e-02
-8.651548e-03  1.802929e-02  8.848173e-05 -1.000000e+00 -1.715914e-04  1.623022e-03 -7.189870e-02  7.481941e-03 -2.567280e-03  1.520995e-02
-1.720254e-02 -1.492280e-04 -5.172236e-05 -1.331561e-04 -1.231598e-04  1.216887e-02 -3.352529e-02 -6.135406e-06 -3.564982e-02  3.644599e-03
 8.612165e-03 -5.643768e-03  2.653665e-02 -6.359433e-02 -2.011354e-05 -1.581676e-05 -6.815445e-05 -6.059423e-06  7.824929e-04  4.701540e-04
 7.238951e-04  4.704031e-03  3.507036e-03 -4.722592e-04 -1.168988e-03 -1.125310e-03  5.033632e-03  1.440636e-03  2.252225e-02  2.848252e-02
-2.867760e-03 -5.646095e-04  3.513988e-03 -3.039156e-04 -3.691526e-04 -2.306921e-03  1.386330e-03  6.454692e-04  2.741937e-03 -5.753683e-03
 4.753117e-03 -1.502632e-03  1.944877e-03  1.850630e-03 -6.153635e-02 -4.115893e-02 -1.008621e-02 -1.844896e-03  1.952921e-03  8.230642e-03
-1.069868e-02 -3.557484e-04 -5.883741e-03  5.636318e-04  2.533217e-03 -1.246164e-04 -5.661217e-03 -6.171767e-04  2.841426e-02 -3.736727e-02
 5.395767e-03  1.332375e-03  1.508915e-03  1.097392e-04  2.222371e-03  2.446004e-03 -1.225729e-03  2.758525e-04  4.487314e-02 -1.443621e-04
-1.134814e-04  3.621023e-05  8.475817e-06 -6.730806e-04  2.969038e-05 -9.031349e-05  1.624250e-06  1.275658e-05 -1.776969e-05 -2.295122e-05
-6.402304e-05 -1.142826e-06 -2.428932e-07  2.659169e-05  2.696417e-06 -3.075615e-05 -6.398225e-04 -1.294647e-05  9.081583e-06  1.731647e-05
 2.663015e-05  2.513834e-05  6.944853e-04 -1.235116e-03  4.918703e-06  5.346452e-06 
  MODE      55
 1.233737e-03 -2.526127e-03  7.478334e-04  1.189648e-03 -1.531184e-02 -1.818255e-02 -1.538408e-03  7.344672e-03  4.973607e-02  8.089462e-02
-4.214975e-02 -2.574677e-02 -6.601057e-02  3.776587e-02 -3.898534e-04 -1.181919e-01  1.618550e-02  4.081870e-02  3.097065e-02 -3.879964e-02
-3.882561e-03 -3.019468e-01  1.201047e-02 -2.376780e-01 -9.888198e-03 -2.772458e-03 -3.706813e-04 -4.908494e-01  1.034819e-02  7.975662e-02
-2.146188e-03  4.636414e-02  5.310440e-01 -2.132471e-01  2.764103e-02  3.963188e-01 -4.513305e-01  6.982969e-02  5.170863e-01  4.640144e-01
 8.654163e-02 -3.603197e-02  6.156294e-02  5.489470e-01 -7.756167e-03  4.744619e-02 -1.670463e-02  1.759918e-03  8.362780e-02  7.411284e-02
-3.601930e-02 -3.937565e-02 -3.934381e-02  3.196477e-02  9.786279e-01  7.915532e-02  1.632653e-01  2.041157e-01  1.025946e-03  2.329680e-02
 6.673160e-03 -2.563605e-02 -7.175934e-03 -1.382349e-03 -1.192375e-02  1.877741e-02  3.254640e-02 -1.378710e-02  8.001967e-02  9.392294e-02
 1.332848e-02 -1.309883e-02 -1.056383e-02 -3.198462e-03 -3.729840e-03 -3.752916e-04 -2.683911e-04  1.629280e-02  1.231640e-03 -1.819295e-04
 1.214396e-02 -1.401072e-02  5.500845e-03  2.068648e-04  4.637283e-04 -1.780437e-03 -1.997717e-03 -5.618833e-04  3.114366e-02 -1.151068e-02
-4.660664e-03 -8.347880e-04 -1.448824e-03 -4.078027e-04  1.615005e-04  9.745866e-04  2.178998e-03 -2.649710e-04  4.333444e-03  2.405311e-03
-1.949189e-03 -2.125621e-03  3.110491e-03  2.863195e-03  1.928282e-02 -6.481240e-02  4.480868e-03 -3.253802e-03 -9.951448e-04  1.179513e-02
 3.943165e-03  3.460201e-04 -9.444600e-03 -2.429560e-04  4.090810e-03  1.275910e-04  2.245040e-03 -8.687141e-04  4.147080e-02  1.385472e-02
 8.878499e-03 -5.583290e-04 -6.632090e-04  1.882766e-04 -9.711154e-04 -9.900263e-04 -1.864534e-03 -1.211259e-04  1.272218e-02  3.919213e-02
-2.067102e-04  3.235274e-05 -1.877677e-05 -1.108878e-03 -2.133350e-04  2.388257e-04 -3.411377e-05 -1.683126e-05 -2.230183e-05 -2.743546e-06
 1.576021e-05  5.404098e-07 -1.141668e-07  1.721360e-05  5.838361e-05 -5.941075e-04 -1.495396e-04  3.276312e-05  1.360184e-06 -2.604453e-06
-4.814630e-05 -3.477530e-05  1.143772e-03  1.721870e-04  1.788102e-06 -1.651953e-06 
  MODE      56
-1.495731e-03  1.040783e-02  7.308262e-05 -3.279440e-03 -1.423587e-02 -1.924080e-02 -2.237092e-02 -1.714149e-02  4.474647e-03  5.652347e-02
 2.725181e-02  9.699434e-02  3.185645e-02  3.327996e-02  1.115831e-03 -9.734664e-03  1.360730e-02  1.537571e-02 -3.836464e-02  4.688174e-03
 1.247616e-02  8.284756e-03  9.224113e-03  1.046583e-01 -6.126266e-03  1.573124e-03 -3.638526e-05  2.422424e-01 -5.368166e-02 -4.667562e-02
-1.331420e-03  4.121122e-02  1.130923e-02 -1.891251e-01 -1.016460e-01 -2.160325e-01 -9.916469e-03 -2.503776e-01  1.084055e-02  1.022961e-02
 7.527292e-02  1.260078e-01  5.267072e-02 -2.700606e-01  2.931543e-02  4.209283e-02  6.028102e-02 -6.046529e-03  7.986623e-04  6.363751e-02
-1.264558e-02  2.987653e-02  1.209594e-04 -8.508891e-03 -4.017573e-04  1.778532e-01  8.767169e-01  8.347650e-03 -3.254794e-03  1.973455e-02
-2.236636e-02 -2.183025e-04 -7.129914e-05  1.457235e-03 -1.667794e-04  1.577155e-02 -1.815311e-02 -2.258925e-05 -1.251468e-02  4.235842e-03
 1.116299e-02 -1.242540e-02  3.447935e-02  2.130652e-03 -2.847279e-05 -1.381362e-05  3.833504e-04 -5.534051e-06  1.028060e-03  6.024723e-04
 5.130970e-03  3.399167e-02  4.555674e-03 -6.173471e-04 -1.509589e-03 -1.462901e-03  6.537532e-03  1.860453e-03  2.921508e-02  3.698653e-02
-3.719561e-03 -7.306046e-04  4.567144e-03 -3.944317e-04 -4.807648e-04 -2.997038e-03  1.796214e-03  8.375977e-04  3.554954e-03 -7.473982e-03
 6.179047e-03 -1.947591e-03  2.520725e-03  2.400647e-03 -7.991388e-02 -5.338171e-02 -1.311181e-02 -2.394929e-03  2.536052e-03  1.067598e-02
-1.389474e-02 -4.720875e-04 -7.627815e-03  7.333201e-04  3.289386e-03 -1.607001e-04 -7.357525e-03 -8.010118e-04  3.685553e-02 -4.853308e-02
 6.997947e-03  1.730650e-03  1.959834e-03  1.445672e-04  2.890066e-03  3.176538e-03 -1.589850e-03  3.577240e-04  5.825137e-02 -2.228036e-04
-1.477955e-04  4.780183e-05  1.033116e-05 -8.720676e-04  4.167212e-05 -1.206497e-04  8.321568e-07  1.662331e-05 -2.307946e-05 -2.969311e-05
-8.357852e-05 -1.862827e-06 -6.887550e-07  3.341151e-05  2.925389e-06 -3.877233e-05 -8.310763e-04 -1.679655e-05  1.217240e-05  2.220475e-05
 3.675132e-05  3.414001e-05  9.016327e-04 -1.600335e-03  6.447616e-06  7.051199e-06 
  MODE      57
-2.110140e-05  5.611752e-05 -2.128485e-05 -2.503378e-05  3.363832e-04  3.402740e-03  5.415779e-05  3.364548e-03 -1.101742e-03 -3.708948e-04
-4.728591e-03  5.903534e-04  1.415905e-03 -8.464566e-04  6.851349e-06 -3.147403e-03 -3.664802e-04 -1.261405e-03 -5.816525e-04  8.727509e-04
 9.647141e-05 -1.284134e-02 -2.742167e-04  5.114453e-03  2.407389e-04  5.800357e-05  8.428163e-06  1.044396e-02 -2.239576e-04 -1.692621e-03
 4.611529e-05 -1.029676e-03  1.165658e-02  4.779067e-03 -6.468304e-04 -8.532666e-03  3.533930e-03 -1.643445e-03 -3.254841e-03 -2.448046e-03
-1.947479e-03  8.575207e-04 -1.394302e-03 -1.164896e-02  1.790369e-04 -1.063251e-03  3.902366e-04 -3.735021e-05 -5.884301e-03 -1.672695e-03
 1.004801e-02  2.866740e-03 -3.917437e-03 -6.741635e-04 -2.372630e-03 -1.688387e-03 -2.098928e-03  9.935880e-01  6.905932e-05 -4.940818e-04
-1.719448e-04  1.294625e-03 -3.936991e-04  3.240546e-05  1.216541e-03 -4.245366e-04 -6.854064e-04  8.270742e-04 -1.225111e-03  3.192058e-02
-3.027175e-04  2.757544e-04  2.539801e-04  6.760383e-05 -4.773584e-06 -3.299062e-04  1.377292e-05 -1.003690e-04 -3.528087e-05  1.642874e-05
-2.854715e-02  4.551342e-03 -1.363483e-04 -3.893164e-06 -1.419642e-05  4.229369e-05  4.842186e-05  1.982690e-05 -6.905618e-04  2.736069e-04
 1.079515e-04  1.627854e-05  3.369837e-05  1.025515e-05 -4.235059e-06 -2.367422e-05 -4.744452e-05  7.287457e-06 -9.736195e-05 -5.809015e-05
 4.506785e-05  4.679176e-05 -7.193594e-05 -6.488536e-05 -4.680662e-04  1.448397e-03 -1.071093e-04  7.958652e-05  2.627047e-05 -2.624322e-04
-9.429820e-05 -5.422111e-06  2.153774e-04  4.327253e-06 -1.006908e-04 -3.795806e-06 -5.316768e-05  1.756699e-05 -9.334797e-04 -3.320380e-04
-2.083307e-04  1.376862e-05  1.630039e-05 -6.985298e-06  2.173529e-05  2.480740e-05  4.201706e-05  2.893877e-06 -2.673896e-04 -8.900813e-04
 6.426556e-06 -1.062578e-06  1.241438e-06  2.622521e-05  7.960870e-06 -1.189496e-05  1.920885e-06  2.282557e-07  3.724967e-07 -7.632731e-07
-2.696450e-07  2.114383e-07  4.742402e-07 -4.371130e-08 -3.024703e-06  1.432878e-05  3.425181e-06 -2.131228e-06  7.321232e-07 -1.214829e-07
 6.723756e-07  3.569614e-07 -2.113262e-05 -5.096058e-06  1.900922e-07  2.951726e-08 
  MODE      58
-6.788410e-03  8.873932e-02  6.423567e-04 -2.665108e-02 -1.214028e-01 -1.638053e-01 -1.730667e-01 -1.460283e-01 -2.310049e-02  4.821400e-01
 2.324803e-01  8.267599e-01  3.152618e-01  2.839580e-01  9.519778e-03 -8.245867e-02  1.161675e-01  1.306007e-01 -3.204547e-01  8.905096e-02
 1.062844e-01  7.107017e-02  7.862969e-02  1.000000e+00 -5.249538e-02  1.371850e-02 -3.108038e-04  1.000000e+00 -4.569160e-01 -4.121018e-01
-1.266689e-03  3.516041e-01  9.393459e-02 -1.000000e+00 -8.662934e-01 -1.000000e+00 -8.338513e-02 -1.000000e+00  9.082931e-02  8.527294e-02
 6.424028e-01  1.000000e+00  4.493092e-01 -1.000000e+00  2.498737e-01  3.591264e-01  5.137234e-01 -5.150570e-02  6.483975e-03  5.431368e-01
-9.080044e-02  1.767156e-01  9.239845e-04 -1.192827e-01 -3.307371e-03  5.902170e-01 -1.000000e+00  8.317667e-02 -2.815069e-02  1.684045e-01
-1.905292e-01 -1.773815e-03 -5.577911e-04  5.524739e-03 -1.345016e-03  1.346966e-01 -1.478033e-01 -1.677021e-04 -3.954806e-01  4.035257e-02
 9.532055e-02 -4.522589e-02  2.937479e-01  2.018136e-02 -2.212040e-04 -1.522536e-04  4.609501e-04 -4.750533e-05  8.661295e-03  5.196785e-03
 7.345764e-03  4.763776e-02  3.882357e-02 -5.240111e-03 -1.292786e-02 -1.246352e-02  5.571369e-02  1.591969e-02  2.493132e-01  3.152722e-01
-3.175213e-02 -6.254782e-03  3.888747e-02 -3.365651e-03 -4.087131e-03 -2.553062e-02  1.534672e-02  7.141948e-03  3.036000e-02 -6.366423e-02
 5.259711e-02 -1.662579e-02  2.151794e-02  2.049463e-02 -6.811484e-01 -4.556257e-01 -1.116433e-01 -2.043452e-02  2.161198e-02  9.111429e-02
-1.184264e-01 -3.949077e-03 -6.513011e-02  6.225374e-03  2.804647e-02 -1.371478e-03 -6.266687e-02 -6.833674e-03  3.145422e-01 -4.136183e-01
 5.973366e-02  1.473761e-02  1.669177e-02  1.221572e-03  2.459191e-02  2.707720e-02 -1.356944e-02  3.041296e-03  4.967143e-01 -1.580207e-03
-1.259622e-03  4.049258e-04  9.272391e-05 -7.447104e-03  3.071179e-04 -9.964007e-04  7.570978e-06  1.359686e-04 -1.967707e-04 -2.536162e-04
-7.145916e-04 -1.279152e-05 -2.786982e-06  2.941886e-04  2.440571e-05 -3.408533e-04 -7.081948e-03 -1.435762e-04  1.007150e-04  1.918446e-04
 2.956841e-04  2.772474e-04  7.687301e-03 -1.367317e-02  5.431553e-05  5.881134e-05 
  MODE      59
 1.640115e-04 -2.522347e-03 -1.766523e-05  6.980291e-04  3.264462e-03  4.386210e-03  4.574894e-03  3.876450e-03  4.118125e-04 -1.299826e-02
-6.139057e-03 -2.193301e-02 -7.997681e-03 -7.640725e-03 -3.028064e-03  2.361548e-03 -3.125762e-03 -3.498970e-03  8.886626e-03 -2.459832e-03
-2.229542e-03 -1.418751e-03 -2.118658e-03 -2.729792e-02  1.416788e-03 -3.479140e-04  9.091226e-06 -5.982857e-02  1.636700e-02  9.736826e-03
-2.755383e-04 -9.458251e-03 -3.201021e-03  4.341073e-02  1.472308e-02  4.876501e-02  2.919816e-03  5.651751e-02 -3.177251e-03 -2.940290e-03
-1.727998e-02 -2.355099e-02 -1.208379e-02  6.802959e-02 -1.689246e-02 -9.662287e-03 -1.879085e-03 -1.449889e-03 -2.454849e-04 -1.460002e-02
 2.527829e-03 -4.738115e-03 -3.790784e-05  3.945954e-03  1.226413e-04  9.703173e-03  2.151541e-02 -2.641009e-03  9.784948e-01 -4.592904e-03
 1.959048e-01  6.201327e-05  2.248731e-05 -1.719503e-04  4.646267e-05 -3.636999e-03  4.011911e-03  1.040063e-05  1.023248e-02 -1.224281e-03
-2.568760e-03 -1.601383e-03  1.200438e-02 -3.947751e-04  8.433800e-06  3.543496e-06 -2.579414e-05  2.178815e-06 -2.271906e-04 -5.125323e-03
-2.403502e-04 -1.393535e-03 -1.046242e-03  3.885754e-03 -9.324977e-03  3.336677e-04  4.189451e-03  1.257190e-02 -6.714129e-03 -8.606552e-03
 8.571967e-04  1.687870e-04  8.371982e-03  8.107767e-05 -4.758677e-05  2.744815e-03 -4.119343e-04  4.078701e-03 -8.172119e-04 -1.112839e-02
-7.768345e-04  4.462119e-04 -5.832633e-04 -5.517496e-04  1.796254e-02  1.226980e-02 -1.645244e-03  5.764212e-04  3.105875e-03 -2.449609e-03
 2.987361e-03  1.606092e-02  1.753015e-03  2.416188e-03 -7.551876e-04  6.672308e-03  3.921080e-03  1.855585e-04 -8.461183e-03  1.099717e-02
-1.612884e-03  2.547797e-03 -1.446588e-03 -3.464373e-05 -7.132994e-03  3.948139e-03  3.703494e-04 -8.017886e-03 -1.338571e-02  6.013845e-05
 3.280129e-05 -8.320247e-06 -2.716880e-03  2.001661e-04 -7.290325e-06 -4.487416e-04 -3.169125e-07 -4.471964e-04  5.270988e-06  1.110609e-05
-9.470341e-04  3.755745e-05 -5.703164e-04 -5.981725e-04 -7.684504e-07  8.522702e-06  1.925812e-04  4.153470e-06  2.195303e-04 -1.258229e-03
-3.242189e-04  8.566804e-05 -2.102038e-04  3.406294e-04 -6.827433e-06  3.198489e-04 
  MODE      60
-4.143822e-04  6.273330e-03  4.202211e-05 -1.737606e-03 -8.009567e-03 -1.076211e-02 -1.133234e-02 -9.638137e-03 -1.266766e-03  3.178430e-02
 1.542754e-02  5.417958e-02  2.014811e-02  1.873139e-02 -2.184742e-04 -5.209577e-03  7.661359e-03  8.463629e-03 -2.219027e-02  6.288010e-03
