BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93057.0567109 cm-1
	ZPE2 - ZPE1    :     -690.9218789 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
  40  34    A  581.41     0.02124   0.00110    0.00000       0.00    A  577.38     0.12990   0.00670    0.00002       0.01   40   40  -0.3657
  41  35    A  586.44     0.00556   0.00029    0.00000       0.00    A  591.62     0.00581   0.00030    0.00000       0.00   41   41  -1.0000
  42  36    A  595.65    -1.19169   0.06239    0.00195       1.16    A  598.45     0.91930   0.04824    0.00116       0.70   42   42   0.9799
  43  37    A  623.98     0.00254   0.00014    0.00000       0.00    A  620.87     0.00352   0.00019    0.00000       0.00   43   43  -0.9946
  44  38    A  639.38     3.40995   0.18497    0.01711      10.94    A  622.32    -0.00820   0.00044    0.00000       0.00   44   44   0.2483
  45  39    A  640.72    -0.00320   0.00017    0.00000       0.00    A  639.66    -2.85566   0.15494    0.01200       7.68   45   45   0.0000
  46  40    A  641.68    -2.56805   0.13955    0.00974       6.25    A  640.39     0.00135   0.00007    0.00000       0.00   46   46  -0.0414
  47  41    A  664.83     0.12250   0.00678    0.00002       0.02    A  641.48     2.66900   0.14501    0.01051       6.74   47   47  -0.5434
  48  42    A  686.42    -0.02473   0.00139    0.00000       0.00    A  685.62     3.71905   0.20890    0.02182      14.96   48   48  -0.0016
  49  43    A  689.13     3.24100   0.18251    0.01666      11.48    A  687.03    -0.18145   0.01020    0.00005       0.04   49   49  -0.0002
  50  44    A  696.48    -0.00055   0.00003    0.00000       0.00    A  696.66    -0.00100   0.00006    0.00000       0.00   50   50  -0.9998
  51  45    A  710.35    -0.00077   0.00004    0.00000       0.00    A  710.84     0.01407   0.00080    0.00000       0.00   51   51  -0.9747
  52  46    A  710.36     0.00957   0.00055    0.00000       0.00    A  710.84    -0.00615   0.00035    0.00000       0.00   52   52   0.9599
  53  47    A  730.89     0.04736   0.00275    0.00000       0.00    A  729.98     0.27324   0.01584    0.00013       0.09   53   53  -0.9763
  54  48    A  766.82    -0.01037   0.00062    0.00000       0.00    A  759.56     0.00066   0.00004    0.00000       0.00   54   54  -1.0000
  55  49    A  769.83     0.02150   0.00128    0.00000       0.00    A  762.08    -0.08012   0.00474    0.00001       0.01   55   55   0.9786
  56  50    A  784.31    -0.01040   0.00062    0.00000       0.00    A  767.25     0.00427   0.00025    0.00000       0.00   56   56   0.1779
  57  51    A  784.47    -0.00164   0.00010    0.00000       0.00    A  777.51    -0.00140   0.00008    0.00000       0.00   57   57  -0.0021
  58  52    A  786.40    -0.11661   0.00701    0.00002       0.02    A  777.66    -0.00213   0.00013    0.00000       0.00   58   58   0.0832
  59  53    A  786.51     0.35518   0.02137    0.00023       0.18    A  782.55     0.35229   0.02114    0.00022       0.17   59   59   0.9785
  60  54    A  788.84    -2.59021   0.15606    0.01218       9.61    A  795.88     0.00234   0.00014    0.00000       0.00   60   60   0.0112
  61  55    A  798.48    -0.00183   0.00011    0.00000       0.00    A  800.65    -2.48537   0.15086    0.01138       9.11   61   61   0.0003
  62  56    A  867.79    -0.00579   0.00037    0.00000       0.00    A  853.26    -0.03980   0.00249    0.00000       0.00   62   62  -0.9590
  63  57    A  871.66     0.05681   0.00360    0.00001       0.01    A  866.18     0.27014   0.01706    0.00015       0.13   63   63  -0.9621
  64  58    A  871.71     0.54520   0.03453    0.00060       0.52    A  866.38     0.17355   0.01096    0.00006       0.05   64   64  -1.0000
  65  59    A  874.72    -0.00384   0.00024    0.00000       0.00    A  867.55    -0.08104   0.00512    0.00001       0.01   65   65  -0.0005
  66  60    A  876.62     0.01785   0.00113    0.00000       0.00    A  868.94     0.00362   0.00023    0.00000       0.00   66   66   0.0148
  67  61    A  924.74     0.15975   0.01042    0.00005       0.05    A  884.35    -0.01491   0.00095    0.00000       0.00   67   67   1.0000
  68  62    A  927.12    -0.02339   0.00153    0.00000       0.00    A  895.00    -0.05609   0.00360    0.00001       0.01   68   68  -0.9569
  69  63    A  952.44     0.00164   0.00011    0.00000       0.00    A  936.83    -0.00139   0.00009    0.00000       0.00   69   69   0.0002
  70  64    A  954.90     0.00831   0.00055    0.00000       0.00    A  936.85     0.00197   0.00013    0.00000       0.00   70   70  -0.0237
  71  65    A  954.91    -0.00009   0.00001    0.00000       0.00    A  951.07     0.00157   0.00010    0.00000       0.00   71   71  -0.0007
