BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93273.3384473 cm-1
	ZPE2 - ZPE1    :     -474.6401425 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
 4.592675e-03 -3.337763e-03  1.681060e-03  2.422292e-04  4.876848e-04  8.006220e-04  2.226659e-03 -7.847880e-05  1.145372e-02 -1.211618e-02
-1.575672e-03 -1.719455e-04  3.462596e-04  2.334160e-04  2.538834e-04 -5.671773e-04 -1.049319e-03  2.638109e-04 -1.384695e-03 -1.872799e-03
-1.514647e-03  2.926587e-04 -2.002219e-03 -1.258715e-03  9.552093e-03 -2.352077e-02 -2.311069e-02  5.104467e-04 -3.371354e-03  3.023937e-03
-3.233680e-03 -2.297532e-04 -4.276883e-03 -1.827618e-03 -8.912120e-04 -4.374141e-04 -1.440640e-03  1.496646e-02 -1.546189e-02  6.623384e-04
 1.751626e-03 -3.533064e-04 -4.620239e-04  1.132433e-04 -7.388653e-04  2.605697e-04  9.261865e-04  4.309939e-04  1.293242e-02  1.526275e-02
 6.102500e-05  4.771551e-04  4.807194e-05  3.503481e-04  8.040800e-05 -2.372359e-05  4.717939e-05  3.502677e-05  7.617944e-07  1.985362e-06
 6.180974e-05 -2.300918e-05 -5.673915e-05 -2.446736e-04 -2.456647e-04 -7.673138e-05 -8.535006e-05  1.749647e-05 -1.227409e-07  8.391515e-05
-6.966696e-04  6.219594e-04 -1.128313e-04  4.711182e-06  2.011926e-05 -8.068847e-05 
  MODE      24
 5.293207e-02  5.411050e-03  1.625287e-03 -1.639096e-02 -1.688524e-02  1.695039e-02 -1.201766e-01  1.177743e-02  2.493685e-01 -2.128361e-03
-8.198447e-02  5.731772e-02 -8.703411e-02 -4.664722e-02  1.254441e-03 -3.514985e-02  1.975843e-02  3.821241e-04 -8.237198e-01  5.323821e-01
 6.655706e-03 -1.712873e-02  8.080219e-01  1.000000e+00 -2.007881e-02 -1.225945e-02 -1.253798e-04 -2.896387e-01  2.727840e-02 -2.991164e-01
-8.950459e-02  9.658041e-02 -4.078655e-02  5.167078e-02  2.662473e-01 -1.280730e-02 -1.456356e-01 -8.569065e-01 -1.726390e-01 -1.458924e-01
-1.046193e-01 -6.921971e-02 -7.246932e-02  9.274684e-01 -6.747418e-03  3.859098e-02 -6.710088e-02 -4.006546e-02  2.111688e-03  8.817649e-02
 1.333872e-01 -2.750548e-01  4.240872e-03  8.399028e-03  4.375639e-02  2.453080e-01  5.057821e-01  3.631699e-01 -1.150471e-03 -2.680929e-02
-1.271086e-02 -2.610106e-07 -4.510173e-03  1.734096e-03 -2.270405e-02 -1.648608e-03 -1.089216e-01  7.681437e-04 -8.564562e-02 -2.370881e-01
 1.742166e-02  1.948892e-02 -4.752025e-02 -9.797046e-03  1.964150e-04 -1.901218e-03  3.587284e-04  1.363096e-04 -9.368381e-04 -3.407175e-04
 3.948827e-03 -1.491833e-02  5.626353e-03  4.318716e-04  8.365893e-04  2.687183e-03  4.022263e-03 -1.685003e-04  3.897160e-02 -2.104967e-02
-5.221141e-03 -6.592448e-04  5.051997e-04  4.315810e-04  8.186415e-04 -1.011132e-03 -3.502635e-03  4.926110e-04 -4.637290e-03 -3.327232e-03
-2.515127e-03  7.710679e-04 -6.900337e-03 -4.370399e-03  1.678783e-02 -8.125492e-02 -3.833927e-02  1.526955e-03 -5.941132e-03  1.005482e-02
-5.889084e-03 -6.257494e-04 -1.415110e-02 -3.271407e-03 -2.685881e-03 -7.611174e-04 -2.377555e-03  5.181609e-02 -2.598292e-02  2.539207e-03
 5.607102e-03 -5.821374e-04 -7.459347e-04  4.791291e-04 -1.421985e-03  8.542502e-04  1.716521e-03  7.222762e-04  4.633958e-02  2.682672e-02
 9.834636e-05  1.588182e-03  2.790159e-05  1.105193e-03  2.643899e-04 -5.574362e-05  8.066523e-05  8.266874e-05  4.135848e-06  1.980052e-06
 1.513877e-04 -5.618490e-05 -9.972079e-05 -8.706382e-04 -3.923740e-04 -1.304698e-04 -1.850127e-04  3.099656e-05  3.262297e-06  1.716640e-04
-1.976431e-03  1.120844e-03 -2.680572e-04  2.151734e-06  4.676706e-05 -1.946751e-04 
  MODE      25
 2.670406e-04  8.950143e-05  2.373013e-05 -1.023431e-04 -4.219927e-04 -1.167777e-03 -5.410243e-04 -1.162273e-03  1.342963e-03 -8.935984e-04
-2.741162e-03  9.671288e-04 -3.173201e-04 -7.824186e-04  2.803698e-05  2.219367e-03 -1.291648e-02  4.117573e-03 -3.997559e-03  2.572585e-03
 1.403645e-04  6.404988e-02 -1.312229e-03  4.567192e-03 -1.000000e+00  1.295247e-03 -7.903090e-04 -1.107979e-03  4.607397e-04 -1.467909e-03
-2.651554e-04 -7.431067e-03 -1.300952e-02  9.612764e-04 -1.481242e-02 -2.598813e-03 -2.591080e-03 -5.736420e-03 -4.903262e-03  4.024795e-03
-2.366465e-02 -1.243870e-03 -1.010477e-02  3.996633e-03 -1.085523e-04  8.375606e-04 -1.756356e-03 -6.927218e-04  4.350255e-05  1.319118e-02
-8.799564e-04 -2.627511e-03  1.414922e-04 -5.710362e-04  1.221945e-04  8.584430e-04  1.392086e-03  5.599028e-03 -4.034395e-05 -7.298744e-03
-2.261388e-04  3.400179e-05 -2.883014e-05 -3.812112e-04 -1.704416e-02  4.075458e-04 -5.625112e-04 -2.127755e-04 -2.071544e-03 -1.167160e-03
-6.317836e-03  3.623403e-04 -2.659496e-04 -4.832499e-05 -1.312421e-05 -6.204236e-06 -8.853102e-05 -1.813330e-05  1.170438e-03 -7.741777e-06
 9.358816e-05 -9.949072e-05 -1.022064e-03  1.118662e-05  1.643237e-05 -1.672542e-03  7.059584e-05  5.998221e-06  9.497814e-05 -3.792153e-04
-9.901282e-03  1.443264e-02  1.295012e-05  3.414426e-06  2.153935e-04 -1.926434e-05 -2.076749e-04  7.002919e-06  2.264271e-03 -5.849989e-05
-5.072187e-05  1.567699e-02 -9.309929e-04 -1.541699e-02  3.083990e-04 -5.154384e-04 -7.264643e-04  1.080095e-02 -1.050418e-04  1.013581e-04
-1.013897e-04 -8.188846e-06 -1.035710e-02 -4.838009e-05 -5.109320e-03 -1.294573e-05 -4.454214e-05 -2.653924e-05 -4.854828e-04  3.562191e-03
 7.245604e-03 -1.351236e-05 -1.231602e-05 -1.421666e-03 -2.193420e-05  1.676565e-03  2.980485e-05  1.359065e-05 -3.094120e-04  4.384538e-04
-7.856076e-03 -3.222990e-04 -4.158796e-07  3.253447e-03  1.279869e-03 -9.754010e-07  1.709471e-04  9.380785e-07  3.350519e-05  3.469783e-07
 3.089711e-03 -1.479758e-03 -2.408918e-06  1.175396e-04 -9.940558e-06 -9.634375e-04 -2.704970e-06  1.762481e-04 -1.810014e-06  2.394388e-03
 9.967458e-05  2.980159e-05 -3.251430e-06 -9.341115e-05  4.607462e-07 -2.480980e-06 
  MODE      26
 3.663028e-01  4.045886e-02  1.262159e-02 -1.212491e-01 -1.271066e-01  1.269746e-01 -9.769308e-01  8.746262e-02  1.000000e+00 -1.488965e-02
-6.178435e-01  4.319015e-01 -1.717900e-01 -3.525870e-01  9.160707e-03 -2.654025e-01  1.494181e-01  4.468927e-03 -1.000000e+00  1.000000e+00
 5.025161e-02 -1.273181e-01  1.000000e+00  1.000000e+00 -1.545659e-01 -9.818482e-01 -1.235257e-01 -1.000000e+00  2.052273e-01 -1.000000e+00
-5.548455e-01  7.243728e-01 -3.068074e-01  3.889631e-01  1.000000e+00 -9.791552e-02 -1.000000e+00 -1.000000e+00 -1.000000e+00 -1.000000e+00
-7.886303e-01 -5.215557e-01 -5.464441e-01  1.000000e+00 -5.052746e-02  2.985512e-01 -5.053175e-01 -3.017624e-01  1.556727e-02  6.647436e-01
 1.000000e+00 -1.000000e+00  3.209137e-02  6.226568e-02  1.805779e-01  1.000000e+00  1.000000e+00  1.000000e+00 -8.760092e-03 -2.020979e-01
-9.586633e-02 -1.202740e-05 -3.519195e-02  1.288585e-02 -1.711607e-01 -1.174636e-02 -8.759367e-01  5.659200e-03 -6.468476e-01 -1.000000e+00
 1.313034e-01  1.457829e-01 -4.151175e-01 -8.193158e-02  1.279820e-03 -1.369246e-02  2.694312e-03  1.085135e-03 -7.041246e-03 -2.656402e-03
 2.974140e-02 -1.069756e-01  4.240632e-02  3.252466e-03  6.370274e-03  2.025561e-02  3.034930e-02 -1.188959e-03  2.936337e-01 -1.583685e-01
-3.943504e-02 -4.922389e-03  3.672917e-03  3.255166e-03  6.175541e-03 -7.718174e-03 -2.641361e-02  3.781114e-03 -3.492850e-02 -2.527658e-02
-1.888915e-02  5.878987e-03 -5.207064e-02 -3.298894e-02  1.270886e-01 -6.123534e-01 -2.883077e-01  1.155091e-02 -4.473915e-02  7.574814e-02
-4.462499e-02 -4.608076e-03 -1.067099e-01 -2.473468e-02 -2.025537e-02 -5.657277e-03 -1.791572e-02  3.905123e-01 -1.955231e-01  1.919192e-02
 4.228902e-02 -4.489452e-03 -5.705186e-03  3.613696e-03 -1.073027e-02  6.409397e-03  1.300366e-02  5.433319e-03  3.492236e-01  2.018139e-01
 7.219816e-04  1.196154e-02  2.170860e-04  8.371546e-03  2.013389e-03 -4.631850e-04  5.956673e-04  6.054509e-04  2.841896e-05  1.206534e-05
 1.132255e-03 -4.181986e-04 -7.360435e-04 -6.574455e-03 -2.966860e-03 -9.606590e-04 -1.368835e-03  2.339434e-04  3.201603e-05  1.272219e-03
-1.483530e-02  8.364142e-03 -1.972303e-03  7.104672e-06  3.314168e-04 -1.426997e-03 
  MODE      27
-5.018775e-02 -1.549248e-02  2.393019e-03  1.509552e-02  2.852893e-02  2.016815e-01  1.063092e-01  2.069491e-01 -2.610666e-01  1.714700e-01
 1.372299e-01 -1.657547e-01  4.752535e-02  7.578321e-02 -3.453904e-03 -3.394305e-01 -3.017890e-02 -7.006896e-01  7.667566e-01 -4.798195e-01
-2.215622e-02  2.570558e-02  2.926955e-01 -8.270600e-01  2.970052e-02  1.413809e-01 -9.853816e-01  2.750752e-01 -7.086265e-02  2.422397e-01
 6.286907e-02  1.000000e+00  6.337262e-02 -1.573695e-01 -4.293980e-01  4.544251e-01  4.429671e-01  1.000000e+00  9.337041e-01 -6.202046e-01
 1.671527e-01  2.135180e-01  1.151771e-01 -8.016841e-01  1.887916e-02 -1.711340e-01  1.100957e-01  1.193000e-01 -6.714583e-03 -1.409795e-01
 1.398890e-01  4.764979e-01 -3.538903e-02  9.656797e-02 -2.121748e-02 -1.693119e-01 -2.712260e-01 -1.000000e+00  5.580130e-03  4.335841e-02
 3.977464e-02 -3.736175e-03  4.543328e-03  6.731869e-02  3.671595e-02 -7.225264e-02  1.086373e-01  3.486959e-02  3.720242e-01  2.183621e-01
-2.829223e-02 -6.199723e-02  5.329254e-02  9.749819e-03  2.161858e-03  2.244243e-03  1.606122e-02  2.359852e-03  1.515742e-03  9.714779e-04
-1.958624e-02  1.806823e-02 -9.123236e-03 -1.309843e-03 -2.676834e-03 -4.344527e-03 -1.200350e-02  3.884941e-04 -6.158653e-02  6.531945e-02
 8.633983e-03  9.669512e-04 -1.863219e-03 -1.275940e-03 -1.364251e-03  3.071318e-03  5.763289e-03 -1.423352e-03  7.617204e-03  1.020551e-02
 8.233023e-03 -1.678562e-03  1.091077e-02  6.868435e-03 -5.173297e-02  1.264293e-01  1.247587e-01 -2.931281e-03  1.818299e-02 -1.625117e-02
 1.749380e-02  1.225954e-03  2.339636e-02  9.858355e-03  4.709237e-03  2.318389e-03  7.834091e-03 -8.060150e-02  8.348446e-02 -3.595307e-03
-9.708839e-03  1.949281e-03  2.521002e-03 -6.537255e-04  4.004860e-03 -1.379733e-03 -4.987234e-03 -2.339496e-03 -6.947049e-02 -8.233082e-02
-3.254010e-04 -2.634181e-03 -2.716797e-04 -1.887389e-03 -4.258528e-04  1.167779e-04 -2.264242e-04 -1.712524e-04 -1.578461e-06 -9.075901e-06
-3.095294e-04  1.107837e-04  2.987415e-04  1.338351e-03  1.341834e-03  3.668141e-04  4.324527e-04 -8.962177e-05 -7.550825e-06 -4.112590e-04
 3.641387e-03 -3.272678e-03  5.506783e-04 -1.373359e-05 -8.665373e-05  3.862459e-04 
  MODE      28
 1.980190e-02  2.401652e-03  7.985824e-04 -7.308675e-03 -7.580909e-03  7.546009e-03 -6.285296e-02  5.195185e-03  1.182516e-01 -8.023234e-04
-3.686551e-02  2.575037e-02 -3.531854e-02 -2.101945e-02  5.939285e-04 -1.587404e-02  8.957797e-03  9.632541e-05 -3.609560e-01  2.284173e-01
 3.033783e-03 -7.572701e-03  1.544293e-01  2.496711e-01 -9.177659e-03  2.666341e-02  6.133943e-03 -1.000000e+00  1.450355e-02 -5.325126e-01
-1.432114e-01  4.302260e-02 -1.825081e-02  2.328118e-02  1.196497e-01 -5.649220e-03 -6.543947e-02 -4.194987e-01 -7.725473e-02 -6.511506e-02
-4.706412e-02 -3.107212e-02 -3.259189e-02  4.946408e-01 -2.998001e-03  1.869445e-02 -3.011144e-02 -1.799638e-02  8.984548e-04  3.967087e-02
 6.014992e-02 -1.240806e-01  1.813732e-03  3.714356e-03  2.779455e-02  1.198210e-01  2.327160e-01  1.659333e-01 -5.099107e-04 -1.205688e-02
-5.713142e-03  1.155759e-05 -1.809795e-03  7.720409e-04 -1.021338e-02 -6.782960e-04 -2.928379e-02  3.339371e-04 -3.893920e-02 -1.088167e-01
 7.839017e-03  9.135569e-03 -8.033545e-03 -7.541191e-04  7.121893e-05 -8.590876e-04  1.491228e-04  6.882577e-05 -4.144406e-04 -1.635604e-04
 1.770660e-03 -5.424578e-03  2.529900e-03  1.952827e-04  3.882035e-04  1.207922e-03  1.811015e-03 -6.183438e-05  1.751521e-02 -9.433870e-03
-2.354160e-03 -2.979739e-04  1.920824e-04  1.947258e-04  3.689415e-04 -4.708564e-04 -1.579657e-03  2.359348e-04 -2.085298e-03 -1.524417e-03
-1.099360e-03  3.526793e-04 -3.108587e-03 -1.966216e-03  7.650045e-03 -3.653684e-02 -1.715856e-02  6.905426e-04 -2.666272e-03  4.516003e-03
-2.677987e-03 -2.595899e-04 -6.368304e-03 -1.473949e-03 -1.203353e-03 -3.367617e-04 -1.063274e-03  2.330108e-02 -1.164749e-02  1.146908e-03
 2.522708e-03 -2.812960e-04 -3.478030e-04  2.152574e-04 -6.409510e-04  3.809625e-04  7.851962e-04  3.174426e-04  2.083694e-02  1.201899e-02
 4.644204e-05  7.116099e-04  1.012233e-05  5.012793e-04  1.263620e-04 -3.820792e-05  3.407695e-05  3.515413e-05  1.481902e-06  3.381405e-07
 6.815918e-05 -2.519885e-05 -4.509809e-05 -3.939411e-04 -1.784542e-04 -5.543138e-05 -7.998638e-05  1.471672e-05  2.869971e-06  7.533349e-05
-8.817344e-04  4.960649e-04 -1.153376e-04 -1.035526e-06  1.792713e-05 -8.382359e-05 
  MODE      29
-2.297839e-02 -1.939691e-03 -7.913738e-04  7.802311e-03  8.012498e-03 -7.867792e-03  6.164333e-02 -5.379569e-03 -1.296106e-01  1.069586e-03
 3.891688e-02 -2.720676e-02  1.107051e-02  2.220103e-02 -2.025805e-03  1.652345e-02 -9.395978e-03 -5.986634e-04  3.911102e-01 -2.307713e-01
-2.402928e-02  8.076918e-03 -7.932364e-02 -1.661307e-01  9.621566e-03 -6.917084e-04 -5.960205e-04  2.014527e-01 -1.000000e+00  1.367367e-01
 3.507823e-02 -4.523893e-02  1.932554e-02 -4.501545e-02 -1.264325e-01  6.387595e-03  5.282555e-02  4.180775e-01  8.246114e-02  6.867212e-02
 4.969060e-02  1.735590e-03  3.440955e-02 -4.658129e-01 -1.380809e-03 -1.881498e-02  3.183795e-02  1.893219e-02  1.322096e-02 -4.188071e-02
-6.305561e-02  1.305556e-01 -2.098328e-03 -3.880044e-03 -1.136423e-02 -9.653303e-02 -2.396346e-01 -1.725455e-01 -1.440467e-03  1.272300e-02
-1.368949e-02  1.356344e-06  2.074462e-03 -7.789640e-04  1.078394e-02  7.212274e-04  5.512652e-02 -3.380423e-04  4.093022e-02  1.131025e-01
-8.270191e-03  4.367557e-03  2.591158e-02  5.153648e-03 -9.733962e-05  8.992595e-04 -1.632746e-04 -6.364847e-05  4.443537e-04 -6.039822e-04
-1.880487e-03  6.770344e-03 -2.680503e-03  1.349014e-03  1.143092e-03 -1.279617e-03 -4.925346e-04  5.462311e-03 -1.849023e-02  1.101670e-02
 2.483977e-03  3.069467e-04  2.549112e-03  1.952072e-05 -3.849655e-04 -2.179504e-03  1.661301e-03 -2.037329e-03  2.194821e-03  3.789088e-03
-1.070420e-02 -3.778807e-04  3.283775e-03  2.085368e-03 -1.141051e-04  3.857650e-02  2.106802e-02 -7.230025e-04  1.640895e-03 -4.770998e-03
-1.261294e-02 -9.074340e-04  6.721083e-03  1.554567e-03  1.281666e-03  3.904626e-03  4.039438e-03 -2.459988e-02  1.375673e-02 -1.209992e-03
-2.663399e-03  9.296333e-03  7.377330e-04 -2.284854e-04 -6.685017e-03 -4.025802e-04 -9.350020e-05 -1.451773e-04 -2.192506e-02 -1.400505e-02
-4.470983e-05 -7.540609e-04 -7.455172e-04 -5.272547e-04 -1.299677e-04 -3.711413e-04 -3.736325e-05 -1.723261e-04 -1.724544e-06 -8.074915e-07
-7.125484e-05  2.643993e-05 -9.677505e-04  4.166519e-04  2.829181e-04  6.037494e-05 -2.094972e-04 -1.408990e-05  5.394881e-05 -8.006079e-05
 9.435199e-04 -6.387986e-04  4.213601e-04  2.185092e-07 -3.284999e-04  1.199841e-03 
  MODE      30
-3.039761e-01 -3.365464e-02 -1.046724e-02  1.005188e-01  1.056692e-01 -1.056190e-01  8.124276e-01 -7.269957e-02 -1.000000e+00  1.251058e-02
 5.135469e-01 -3.589932e-01  1.445909e-01  2.929987e-01 -7.581934e-03  2.205584e-01 -1.241225e-01 -3.684231e-03  1.000000e+00 -1.000000e+00
-4.172327e-02  1.059114e-01 -1.000000e+00 -1.000000e+00  1.274943e-01 -3.540601e-02 -1.678792e-02  1.000000e+00 -1.689367e-01  1.000000e+00
-4.468009e-01 -6.014622e-01  2.555463e-01 -3.233506e-01 -1.000000e+00  8.116547e-02  9.117380e-01  1.000000e+00  1.000000e+00  9.092705e-01
 6.554990e-01  4.335539e-01  4.541419e-01 -1.000000e+00  4.199177e-02 -2.481041e-01  4.200255e-01  2.508367e-01 -1.297736e-02 -5.525443e-01
-8.333763e-01  1.000000e+00 -2.657422e-02 -5.186338e-02 -1.297878e-01 -1.000000e+00 -1.000000e+00 -1.000000e+00  7.290484e-03  1.679985e-01
 7.969244e-02 -1.616856e-05  2.820623e-02 -1.069741e-02  1.422778e-01  9.825472e-03  7.549826e-01 -4.682993e-03  5.375603e-01  1.000000e+00
-1.091389e-01 -1.210519e-01  3.498825e-01  4.983408e-02 -1.159347e-03  1.198321e-02 -2.256706e-03 -8.863695e-04  5.865682e-03  2.195954e-03
-2.470715e-02  8.884309e-02 -3.525310e-02 -2.701800e-03 -5.287732e-03 -1.683837e-02 -2.522930e-02  9.980406e-04 -2.440689e-01  1.316386e-01
 3.277316e-02  4.095089e-03 -3.080422e-03 -2.704297e-03 -5.132491e-03  6.405159e-03  2.195170e-02 -3.130595e-03  2.903545e-02  2.099481e-02
 1.574071e-02 -4.880151e-03  4.327719e-02  2.741776e-02 -1.055759e-01  5.089822e-01  2.396507e-01 -9.605518e-03  3.718615e-02 -6.296326e-02
 3.708381e-02  3.846696e-03  8.869868e-02  2.055790e-02  1.684342e-02  4.706619e-03  1.489549e-02 -3.245941e-01  1.625205e-01 -1.595256e-02
-3.515770e-02  3.717323e-03  4.735481e-03 -2.997923e-03  8.916432e-03 -5.334345e-03 -1.079788e-02 -4.524145e-03 -2.902722e-01 -1.677489e-01
-5.983991e-04 -9.943258e-03 -1.852897e-04 -6.953564e-03 -1.660887e-03  3.710126e-04 -4.964913e-04 -5.029494e-04 -2.435421e-05 -9.742253e-06
-9.442841e-04  3.507375e-04  6.178386e-04  5.464443e-03  2.467093e-03  8.000206e-04  1.137823e-03 -1.954728e-04 -2.649842e-05 -1.056535e-03
 1.233078e-02 -6.953285e-03  1.638948e-03 -5.174626e-06 -2.759410e-04  1.185762e-03 
  MODE      31
 5.655450e-01  6.265438e-02  1.949587e-02 -1.878569e-01 -1.968464e-01  1.966384e-01 -1.000000e+00  1.354272e-01  1.000000e+00 -2.282941e-02
-9.568476e-01  6.688210e-01 -2.730001e-01 -5.460749e-01  1.411942e-02 -4.115149e-01  2.314979e-01  6.381862e-03 -1.000000e+00  1.000000e+00
 7.763370e-02 -1.973209e-01  1.000000e+00  1.000000e+00 -2.377212e-01  6.436598e-02  3.027724e-02 -1.000000e+00  3.135124e-01 -1.000000e+00
-1.000000e+00  1.000000e+00 -4.744688e-01  6.018680e-01  1.000000e+00 -1.528735e-01 -1.000000e+00 -1.000000e+00 -1.000000e+00 -1.000000e+00
-1.000000e+00 -8.079245e-01 -8.462496e-01  1.000000e+00 -7.823327e-02  4.630113e-01 -7.824899e-01 -4.672889e-01  2.415049e-02  1.000000e+00
 1.000000e+00 -1.000000e+00  5.034902e-02  9.611427e-02  3.492871e-01  1.000000e+00  1.000000e+00  1.000000e+00 -1.357344e-02 -3.129521e-01
-1.484857e-01  1.697911e-05 -5.192183e-02  1.987896e-02 -2.650656e-01 -1.815125e-02 -1.000000e+00  8.768571e-03 -1.000000e+00 -1.000000e+00
 2.033233e-01  2.252454e-01 -6.634700e-01 -1.257203e-01  2.230791e-03 -2.263190e-02  4.286727e-03  1.667250e-03 -1.092718e-02 -4.104738e-03
 4.602910e-02 -1.657918e-01  6.569183e-02  5.024329e-03  9.847649e-03  3.137910e-02  4.700273e-02 -1.873402e-03  4.547268e-01 -2.452493e-01
-6.107763e-02 -7.610965e-03  5.799846e-03  5.035221e-03  9.562912e-03 -1.192519e-02 -4.089089e-02  5.830140e-03 -5.407116e-02 -3.910746e-02
-2.936734e-02  9.097105e-03 -8.065049e-02 -5.108312e-02  1.966105e-01 -9.483126e-01 -4.465049e-01  1.789990e-02 -6.928472e-02  1.173084e-01
-6.910040e-02 -7.217304e-03 -1.652617e-01 -3.834956e-02 -3.140598e-02 -8.755179e-03 -2.776466e-02  6.047592e-01 -3.027929e-01  2.971628e-02
 6.550055e-02 -6.915741e-03 -8.817992e-03  5.588122e-03 -1.662993e-02  9.928180e-03  2.010046e-02  8.435327e-03  5.408191e-01  3.125383e-01
 1.104636e-03  1.852354e-02  3.393703e-04  1.297641e-02  3.099879e-03 -6.749007e-04  9.212319e-04  9.384585e-04  4.480288e-05  1.796194e-05
 1.753469e-03 -6.490559e-04 -1.141713e-03 -1.018081e-02 -4.596849e-03 -1.487359e-03 -2.120230e-03  3.639978e-04  4.976307e-05  1.968181e-03
-2.297359e-02  1.295459e-02 -3.052782e-03  9.666037e-06  5.138337e-04 -2.208451e-03 
  MODE      32
 1.839129e-02  5.684276e-03 -1.326324e-03 -5.373163e-03 -1.041676e-02 -6.084047e-02 -3.892334e-02 -7.768066e-02  9.552238e-02 -1.053355e-01
-5.019581e-02  6.049038e-02 -1.750242e-02 -2.770143e-02  1.249552e-03  1.302350e-01  1.090551e-02  3.121446e-01 -2.792999e-01  1.758989e-01
 8.032242e-03 -9.414326e-03 -8.973204e-02  2.877012e-01 -1.053615e-02 -5.389661e-04 -6.371760e-03 -1.018496e-01  2.589559e-02 -8.706841e-02
-2.423275e-02 -1.000000e+00 -2.110984e-02  5.721583e-02  1.568841e-01 -4.841893e-02 -1.615567e-01 -3.899934e-01 -3.617114e-01  1.804119e-01
-6.103743e-02 -7.791801e-02 -4.209100e-02  2.936968e-01 -6.965054e-03  5.624603e-02 -4.021912e-02 -4.352848e-02  2.447808e-03  5.150803e-02
-5.271581e-02 -1.752976e-01 -2.009718e-02 -4.631516e-02  7.805122e-03  6.195283e-02  9.833064e-02  3.716728e-01 -2.036315e-03 -1.582126e-02
-1.452195e-02  2.097703e-03 -1.702408e-03 -4.706399e-02 -1.346015e-02  8.517355e-02 -3.973382e-02 -1.743349e-02 -1.373515e-01 -7.961939e-02
 1.033442e-02  2.261821e-02 -1.949655e-02 -3.562744e-03 -7.379244e-04 -8.393268e-04 -7.857335e-04 -2.469642e-03 -5.606183e-04 -3.446388e-04
 6.201306e-03 -6.615759e-03  3.335427e-03  4.785357e-04  9.735440e-04  1.588029e-03  4.382583e-03 -1.504058e-04  2.250985e-02 -2.384028e-02
-3.150996e-03 -3.516942e-04  6.946555e-04  4.643438e-04  4.998226e-04 -1.116782e-03 -2.099964e-03  5.180753e-04 -2.775989e-03 -3.718206e-03
-3.015788e-03  6.124341e-04 -3.987495e-03 -2.509367e-03  1.884817e-02 -4.621621e-02 -4.552793e-02  1.071757e-03 -6.638807e-03  5.939356e-03
-6.382676e-03 -4.607426e-04 -8.543620e-03 -3.602309e-03 -1.734023e-03 -8.478133e-04 -2.860867e-03  2.945902e-02 -3.046638e-02  1.312247e-03
 3.543289e-03 -7.088563e-04 -9.175819e-04  2.346134e-04 -1.461539e-03  5.050418e-04  1.812770e-03  8.546714e-04  2.539708e-02  3.004718e-02
 1.184391e-04  9.608145e-04  9.613881e-05  6.923993e-04  1.539490e-04 -3.899985e-05  8.310622e-05  6.289766e-05  4.627173e-07  3.104387e-06
 1.135715e-04 -4.100004e-05 -1.094291e-04 -4.897279e-04 -4.909221e-04 -1.349072e-04 -1.575215e-04  3.372678e-05  2.893132e-06  1.511017e-04
-1.334178e-03  1.196220e-03 -2.015538e-04  3.822166e-06  3.152370e-05 -1.425967e-04 
  MODE      33
 1.072683e-04  4.515872e-05  9.728146e-06 -2.481407e-05  3.746213e-04 -5.805016e-04 -1.686201e-04 -5.380228e-04  4.484241e-04 -4.849113e-04
-3.426432e-04  4.887414e-04 -9.792050e-05 -2.664518e-05  1.291201e-05  1.302141e-03 -9.422820e-03  2.296706e-03 -1.388178e-03  8.040965e-04
 6.864316e-05  2.511890e-02 -8.883045e-04  1.964525e-03 -1.944555e-02  8.123634e-05 -4.030336e-05 -2.262739e-04  1.992403e-04 -9.525755e-04
 6.243982e-04 -2.257677e-03  9.969563e-01  5.141431e-04 -1.110923e-02 -1.379604e-03 -1.310909e-03 -2.110345e-03 -2.339928e-03  2.360293e-03
 4.365735e-03 -6.242064e-04  2.048306e-02  1.403082e-03 -4.914170e-05  3.857644e-04  2.577672e-03 -3.507649e-04  2.786518e-05 -3.210714e-02
-6.689143e-04 -1.178189e-03  2.349187e-05 -3.180910e-04  2.512630e-05  3.112914e-04  1.838514e-04  2.744381e-03 -2.270670e-05 -1.311759e-02
-1.190156e-04  2.013080e-05 -2.414855e-05 -1.799201e-04 -2.368127e-02  2.191641e-04 -1.969111e-04 -1.175916e-04 -1.066635e-03 -3.746877e-04
