BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93273.3384473 cm-1
	ZPE2 - ZPE1    :     -474.6401425 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
  39  33    A  562.56     0.00000   0.00000    0.00000       0.00    A  554.64    -0.02213   0.00112    0.00000       0.00   39   39   0.8868
  40  34    A  581.41    -0.00477   0.00025    0.00000       0.00    A  571.52     0.07203   0.00369    0.00001       0.00   40   40   0.8000
  41  35    A  586.44     0.00047   0.00002    0.00000       0.00    A  593.09     0.00127   0.00007    0.00000       0.00   41   41  -1.0000
  42  36    A  595.65    -1.69131   0.08855    0.00392       2.34    A  596.70    -1.41835   0.07432    0.00276       1.65   42   42  -1.0000
  43  37    A  623.98     0.00091   0.00005    0.00000       0.00    A  624.52     0.00036   0.00002    0.00000       0.00   43   43  -0.9953
  44  38    A  639.38     2.93204   0.15904    0.01265       8.09    A  636.16     0.00576   0.00031    0.00000       0.00   44   44   0.0888
  45  39    A  640.72    -0.00124   0.00007    0.00000       0.00    A  637.51     2.77556   0.15034    0.01130       7.20   45   45   0.0004
  46  40    A  641.68    -2.16127   0.11745    0.00690       4.43    A  637.81    -0.24536   0.01329    0.00009       0.06   46   46   0.0006
  47  41    A  664.83    -0.00651   0.00036    0.00000       0.00    A  639.48    -0.00045   0.00002    0.00000       0.00   47   47  -0.0661
  48  42    A  686.42    -0.00442   0.00025    0.00000       0.00    A  639.90    -1.16346   0.06314    0.00199       1.28   48   48   0.0302
  49  43    A  689.13     3.21781   0.18121    0.01642      11.31    A  682.64    -3.73850   0.20954    0.02195      14.99   49   49   0.9822
  50  44    A  696.48     0.00056   0.00003    0.00000       0.00    A  699.85    -0.00029   0.00002    0.00000       0.00   50   50  -1.0000
  51  45    A  710.35    -0.00032   0.00002    0.00000       0.00    A  705.48     0.01066   0.00061    0.00000       0.00   51   51   0.8527
  52  46    A  710.36    -0.00070   0.00004    0.00000       0.00    A  705.50     0.00559   0.00032    0.00000       0.00   52   52  -0.8751
  53  47    A  730.89     0.00794   0.00046    0.00000       0.00    A  712.32     0.32140   0.01840    0.00017       0.12   53   53  -0.9766
  54  48    A  766.82     0.00048   0.00003    0.00000       0.00    A  753.76    -0.06222   0.00366    0.00001       0.01   54   54   0.0002
  55  49    A  769.83     0.00363   0.00022    0.00000       0.00    A  766.40     0.00267   0.00016    0.00000       0.00   55   55   0.0057
  56  50    A  784.31     0.00086   0.00005    0.00000       0.00    A  775.13    -0.00288   0.00017    0.00000       0.00   56   56   0.2431
  57  51    A  784.47    -0.00074   0.00004    0.00000       0.00    A  782.06     0.00243   0.00015    0.00000       0.00   57   57   0.4547
  58  52    A  786.40     0.00386   0.00023    0.00000       0.00    A  782.07     0.00160   0.00010    0.00000       0.00   58   58  -0.2171
  59  53    A  786.51     1.56810   0.09434    0.00445       3.50    A  784.22    -0.55538   0.03336    0.00056       0.44   59   59   0.9817
  60  54    A  788.84    -3.06316   0.18456    0.01703      13.43    A  798.98     0.00063   0.00004    0.00000       0.00   60   60   0.0016
  61  55    A  798.48    -0.00031   0.00002    0.00000       0.00    A  806.13    -2.92027   0.17787    0.01582      12.75   61   61  -0.0000
  62  56    A  867.79    -0.00111   0.00007    0.00000       0.00    A  866.88     0.24489   0.01547    0.00012       0.10   62   62   0.0697
  63  57    A  871.66    -0.00953   0.00060    0.00000       0.00    A  866.91    -0.05785   0.00365    0.00001       0.01   63   63  -0.0185
  64  58    A  871.71    -0.02040   0.00129    0.00000       0.00    A  868.43    -0.02606   0.00165    0.00000       0.00   64   64   0.0092
